threshold,precision,recall,f1,auc
0.5,0.8152173913043478,0.6410256410256411,0.7177033492822966,0.8193976424716607
0.51,0.819672131147541,0.6410256410256411,0.7194244604316546,0.8193976424716607
0.52,0.8241758241758241,0.6410256410256411,0.7211538461538461,0.8193976424716607
0.53,0.8241758241758241,0.6410256410256411,0.7211538461538461,0.8193976424716607
0.54,0.8241758241758241,0.6410256410256411,0.7211538461538461,0.8193976424716607
0.55,0.8212290502793296,0.6282051282051282,0.711864406779661,0.8193976424716607
0.56,0.8248587570621468,0.6239316239316239,0.7104622871046229,0.8193976424716607
0.5700000000000001,0.8238636363636364,0.6196581196581197,0.7073170731707317,0.8193976424716607
0.5800000000000001,0.8285714285714286,0.6196581196581197,0.7090464547677262,0.8193976424716607
0.5900000000000001,0.8372093023255814,0.6153846153846154,0.7093596059113301,0.8193976424716607
0.6000000000000001,0.8470588235294118,0.6153846153846154,0.7128712871287128,0.8193976424716607
0.6100000000000001,0.8571428571428571,0.6153846153846154,0.7164179104477612,0.8193976424716607
0.6200000000000001,0.8562874251497006,0.6111111111111112,0.713216957605985,0.8193976424716607
0.6300000000000001,0.8606060606060606,0.6068376068376068,0.7117794486215538,0.8193976424716607
0.6400000000000001,0.8580246913580247,0.594017094017094,0.702020202020202,0.8193976424716607
0.6500000000000001,0.8625,0.5897435897435898,0.700507614213198,0.8193976424716607
0.6600000000000001,0.8616352201257862,0.5854700854700855,0.6972010178117048,0.8193976424716607
0.6700000000000002,0.8670886075949367,0.5854700854700855,0.6989795918367347,0.8193976424716607
0.6800000000000002,0.8758169934640523,0.5726495726495726,0.6925064599483204,0.8193976424716607
0.6900000000000002,0.8758169934640523,0.5726495726495726,0.6925064599483204,0.8193976424716607
0.7000000000000002,0.8741721854304636,0.5641025641025641,0.6857142857142857,0.8193976424716607
